Sex,51MD,51BL,52MD,52BL,53MD,53BL,54MD,54BL,55MD,55BL,61MD,61BL,62MD,62BL,63MD,63BL,64MD,64BL,65MD,65BL,71MD,71BL,72MD,72BL,73MD,73BL,74MD,74BL,75MD,75BL,81MD,81BL,82MD,82BL,83MD,83BL,84MD,84BL,85MD,85BL,
1,6.13,4.64,4.78,4.9,6.61,6.55,6.76,7.86,8.87,9.57,6.16,4.95,5.37,4.52,6.64,6.38,6.53,8.26,8.32,9.24,3.71,4.97,4.77,5.37,6.15,5.25,7.78,7.45,10.4,5.57,4.03,5.36,5,5.12,5.82,5.27,8.32,7.16,10.11,7.74,
1,6.22,5.08,5.72,4.62,6.74,6.68,5.57,7.83,9.23,9.74,6.45,5.37,5.48,4.65,6.37,5.87,6.49,8.81,9.01,10.3,3.65,3.68,4.03,3.87,6.29,5.72,8.44,8.08,9.86,10,3.88,3.83,4.11,3.93,6,6.13,8.27,7.1,10.56,9.57,
1,6.42,4.64,5.46,3.77,5.69,5.21,6.2,7.47,8.36,8.89,6.39,4.28,5.22,4.16,5.89,4.86,5.94,7.51,7.62,7.97,3.75,4.21,4.73,4.95,5.43,5.58,7.31,7.49,9.28,9.32,4.03,4.89,4.65,4.37,5.5,7.91,6.97,7.04,9.74,8.99,
1,6.23,8.88,5.57,4.39,6.89,5.99,7.47,8.2,8.66,9.47,6.72,4.45,5.75,4.73,6.82,5.31,7.06,7.86,8.51,9.54,4.37,4.19,5.31,4.1,5.71,5.44,8.55,8.75,11.1,8.73,4.12,3.97,4.74,4.1,6.04,5.59,8.33,7.36,10.4,9.74,
1,6.97,5.03,4.95,4.63,7.12,5.74,7.38,7.83,9.89,9.22,6.43,5.35,5.31,4.36,6.55,6.01,7.1,8.03,8.84,9.46,3.67,3.62,4.41,4.01,5.27,5.32,7.56,6.96,9.51,9.34,4.15,3.74,4.21,4.45,5.5,5.64,7.73,6.32,9.33,8.84,
1,6.52,4.6,5.37,4.42,6.62,5.62,7.95,8.65,9.69,9.7,6.15,4.46,5.72,4.42,5.8,5.73,7.24,8.8,10.87,10.3,3.68,3.3,4.3,3.39,5.69,4.85,7.22,6.48,10.16,8.95,4.05,3.47,4.39,4.56,5.02,5.79,7.4,6.67,10.05,9.32,
1,5.81,5.43,4.75,4.83,6.4,6.32,6.93,7.23,8.84,8.97,6.19,4.88,4.35,5.05,6.36,6.52,6.56,8.27,8.95,9.46,4.51,3.54,4.67,3.48,5.81,5.95,8.55,8.18,10.7,9.15,4.41,4.28,4.93,3.62,5.49,5.64,8.19,8.56,10.9,9.43,
1,6.28,4.67,5.5,4.45,5.91,5.37,6.77,7.48,10.32,8.85,6.25,4.37,4.94,5.02,6.08,5.07,6.5,8.02,10.12,10.13,4.22,3.64,4.62,3.53,5.84,5.15,8.13,6.99,10.88,8.42,4.27,3.55,5.35,3.76,5.63,5.21,8.16,7.32,10.88,8.06,
1,6.54,4.91,4.91,5.31,6.28,6.12,6.73,8.53,8.86,9.88,6.35,4.98,4.84,4.54,6.3,5.54,7.03,8.31,8.51,9.22,3.87,3.82,5.38,4.14,5.8,5.69,6.98,7.22,9.5,9.64,4.17,3.84,4.61,4.51,6.14,5.6,8.21,6.64,10.09,8.75,
1,6.48,5.17,5.11,4.29,6.19,5.96,6.88,8.01,9.16,9.92,6.44,5.09,5.48,5.4,6.21,5.53,7.07,8.41,8.79,9.38,3.37,3.07,4,3.37,4.82,4.12,7.85,7.14,10.12,8.14,3.56,3.15,4.14,5.09,4.97,5.31,7.3,6.63,11.07,7.81,
1,6.47,3.9,5.58,3.76,6.22,4.84,6.9,7.55,9.06,9.2,6.23,4.16,5.01,3.47,6,5.01,6.85,8.08,9.19,8.85,3.48,3.5,4.41,3.28,5.32,5,7.72,6.83,9.82,8.83,3.66,4.39,4.28,3.98,5.4,5.54,7.74,6.27,9.41,8.86,
1,6.35,5.23,5.02,4.26,6.01,4.7,7.58,7.86,8.64,9.48,6.63,5.24,5.07,4.15,6.13,5.26,7.41,8,8.64,9.15,4.18,3.64,4.51,3.96,5.53,5.86,7.51,7.86,9.63,8.98,3.97,3.85,4.7,4.23,5.22,6.25,7.55,7.29,9.83,9.13,
1,6.62,5.14,5.36,5.54,7.08,6.44,7.18,8.58,8.5,9.4,5.93,5.26,5.53,4.96,6.48,6.42,7.2,8.71,8.61,9.6,3.48,3.64,4.3,3.4,5.36,4.54,7.24,6.82,9.29,8.98,3.93,3.75,4.38,3.83,5.59,4.92,7.34,6.88,8.87,8.92,
1,6.45,4.92,5.03,4.85,6.3,5.91,6.83,8.65,9.33,10.2,6.59,5.1,4.92,4.27,6.24,5.27,7,8.86,8.55,9.45,4.12,3.77,4.7,4.28,5.44,5.93,7.72,7.82,9.32,9.05,3.89,3.66,4.82,4.2,5.76,6.11,7.6,7.21,9.99,9,
1,6.01,5.06,5.2,4.52,6.53,5.67,6.21,8.91,10.93,9.77,6.04,4.84,4.8,4.47,5.96,5.61,6.89,8.61,9.35,9.92,3.28,3.82,4.19,3.82,4.96,4.78,6.76,6.99,9.4,7.78,3.45,4.37,4.41,4.04,5.37,4.5,5.97,8.06,10.22,7.76,
