Sex,51MD,51BL,52MD,52BL,53MD,53BL,54MD,54BL,55MD,55BL,61MD,61BL,62MD,62BL,63MD,63BL,64MD,64BL,65MD,65BL,71MD,71BL,72MD,72BL,73MD,73BL,74MD,74BL,75MD,75BL,81MD,81BL,82MD,82BL,83MD,83BL,84MD,84BL,85MD,85BL
0,6.71,5.21,5.12,4.55,6.74,6.11,7.07,8.51,9.25,10.92,6.76,5.03,5.44,4.08,6.54,5.89,6.65,8.65,8.91,9.83,4.29,4.25,4.79,4.18,5.54,5.74,7.73,7.71,9.49,9.29,3.67,4.43,3.98,4.54,5.56,5.37,7.59,7.68,8.72,9.34
0,6.94,5.27,5.49,5.24,6.41,6.07,7.08,8.85,9.31,10.07,6.74,5.32,5.42,4.71,6.53,5.81,7.36,9.32,9.68,10.63,3.83,3.25,4.35,3.51,5.17,4.31,7.62,7.62,9.47,8.55,4.61,3.11,4.08,3.64,5.29,4.85,7.71,6.53,10.11,8.61
0,5.61,5.39,4.98,4.64,6.18,5.48,6.27,8.61,8.39,9.09,5.81,5.83,5.01,5.73,6.44,6.19,6.51,8.11,8.24,9.25,4.25,4.09,4.89,4.81,6.17,5.91,7.49,7.33,10.25,8.67,3.95,4.26,5.49,5.11,5.85,5.71,7.55,7.65,10.45,9.31
0,7.34,5.45,5.42,5.05,5.81,5.96,6.54,8.65,8.69,9.57,6.77,5.46,5.61,5.11,6.16,6.58,7.14,9.23,9.17,10.1,4.52,3.92,4.71,3.91,5.54,4.56,7.45,6.72,9.91,7.99,4.08,3.15,4.37,3.84,5.21,4.84,7.31,6.67,9.37,8.48
0,5.81,5.01,4.42,4.53,6.2,5.97,6.55,4.87,8.96,9.48,5.85,5.08,5.29,4.33,5.73,5.64,6.28,8.77,8.22,10.19,3.45,4.1,4.58,4.65,5.31,5.48,7.26,7.28,9.18,8.89,3.71,4.07,4,4.42,5.16,5.28,7.19,6.81,9.49,9.05
0,6.08,4.52,5,4.17,6,4.73,7.59,7.98,8.41,9.95,6.58,5.51,5.37,4.36,6.19,5.31,7.36,8.27,8.54,9.61,4.11,3.48,3.55,3.71,5.41,5,7.74,7.11,10.61,8.69,4.44,3.37,4.17,3.95,5.81,5.7,7.44,7.28,10.21,9.08
0,5.75,4.84,4.61,4.15,5.71,5.59,6.46,8.22,9.03,9.42,5.74,5.02,5.11,4.47,5.62,6.23,6.63,8.25,8.45,9.63,3.75,3.53,4.16,3.41,5.65,4.86,7.89,6.63,10.41,8.93,4.37,4.31,4.76,4.37,5.51,4.81,7.74,7.17,10.79,9.08
0,5.62,4.73,4.68,4.6,6.29,6.79,6.75,8.04,7.72,9.21,5.56,4.96,4.91,4.78,6.09,6.51,6.69,8.87,7.94,9.86,3.98,4.97,4.74,4.93,4.88,5.22,6.81,6.79,9.69,8.47,3.99,5.61,4.46,5.02,6.01,6.16,7.12,7.01,9.01,7.95
0,5.83,4.89,4.51,4.27,5.99,6.34,6.49,8.27,8.91,9.51,5.81,5.29,5.24,4.34,6.11,6.11,6.43,8.57,8.61,9.71,4.18,3.81,4.52,3.97,5.56,5.41,7.36,7.57,9.79,8.98,4.12,4.22,4.62,4.91,5.67,5.88,7.03,7.24,8.82,8.11
0,5.84,4.78,4.87,4.28,6.6,5.56,6.37,7.58,8.75,9.36,5.79,4.73,4.91,4.86,6.08,5.14,6.62,8.19,9,8.77,3.99,4.35,4.22,4.16,5.38,5.61,7.92,6.92,9.56,8.97,4.05,4.15,4.68,4.39,5.35,5.15,7.69,6.96,10.01,8.52
0,5.73,4.75,5.43,4.39,6.21,5.44,7.3,8.31,9.02,9.68,5.19,5.15,5.17,4.17,6.7,5.56,7.09,8.26,8.94,9.75,3.93,4.01,4.72,4.09,5.38,5.22,7.94,6.98,9.61,9.35,3.91,4,4.56,4.37,5.54,5.23,7.55,7.94,9.75,9.41
